,Zipcode,SalesId,NumEstablishments,SalesIdVal,Sales,AvgSales,TotalReturns,Bracket1,Bracket2,Bracket3,Bracket4,Bracket5,Bracket6,Single,Married,Dependent,Farm,Salaried,IndivRetirements,TaxablePensions,Unemployment,SocialSecurity,SelfEmployedRetirement,Zip,Median,Mean,Pop
0,1001,264,4,3000000,6000000,1500000.0,8780,0.3325740318906606,0.25968109339407747,0.17084282460136674,0.1082004555808656,0.11731207289293849,0.011389521640091117,0.5398633257403189,0.35193621867881547,0.45558086560364464,0.0,0.8280182232346242,0.12414578587699317,0.24145785876993167,0.09681093394077449,0.15148063781321183,0.003416856492027335,1001,56662.5735,66687.7509,16445
1,1002,264,2,3000000,3000000,1500000.0,9460,0.3763213530655391,0.18816067653276955,0.11945031712473574,0.08562367864693446,0.16596194503171247,0.06448202959830866,0.5348837209302325,0.36469344608879495,0.47463002114164904,0.003171247357293869,0.806553911205074,0.13742071881606766,0.2124735729386892,0.05179704016913319,0.1543340380549683,0.023255813953488372,1002,49853.4177,75062.6343,28069
2,1020,264,8,3000000,12000000,1500000.0,15030,0.39188290086493677,0.27811044577511645,0.15701929474384566,0.09580838323353294,0.0718562874251497,0.0053226879574184965,0.5249500998003992,0.32934131736526945,0.47238855622089154,0.0,0.8483033932135728,0.10246174318030606,0.23486360612109114,0.1111111111111111,0.13107119095143047,0.001996007984031936,1020,50058.2122,58515.859,29626
3,1027,264,2,3000000,3000000,1500000.0,9660,0.33229813664596275,0.2732919254658385,0.16666666666666666,0.10973084886128365,0.10351966873706005,0.014492753623188406,0.5486542443064182,0.35196687370600416,0.39233954451345754,0.003105590062111801,0.8426501035196687,0.10973084886128365,0.2153209109730849,0.09316770186335403,0.13043478260869565,0.008281573498964804,1027,58572.5693,66612.9083,17452
4,1040,264,2,3000000,3000000,1500000.0,15990,0.47654784240150094,0.267667292057536,0.12382739212007504,0.060662914321450906,0.060662914321450906,0.010631644777986242,0.5309568480300187,0.241400875547217,0.6397748592870544,0.0,0.8705440900562852,0.07754846779237023,0.17698561601000626,0.10944340212632896,0.10131332082551595,0.004377736085053158,1040,35549.1968,43614.712,39827
5,1060,264,12,3000000,18000000,1500000.0,7250,0.383448275862069,0.24689655172413794,0.14344827586206896,0.07862068965517241,0.10344827586206896,0.044137931034482755,0.6689655172413793,0.24,0.2993103448275862,0.0,0.8110344827586207,0.10344827586206896,0.1696551724137931,0.05655172413793103,0.1103448275862069,0.022068965517241378,1060,48068.8968,67477.5104,15578
6,1069,526,4,4500000,4500000,1125000.0,4080,0.3700980392156863,0.2426470588235294,0.15931372549019607,0.1053921568627451,0.10784313725490197,0.014705882352941176,0.5122549019607843,0.36519607843137253,0.4681372549019608,0.0,0.8602941176470589,0.09803921568627451,0.2181372549019608,0.10784313725490197,0.125,0.004901960784313725,1069,50344.992,65296.6974,8789
7,1082,264,2,3000000,3000000,1500000.0,4940,0.3684210526315789,0.27125506072874495,0.16194331983805668,0.09716599190283401,0.09109311740890688,0.010121457489878543,0.5040485829959515,0.36639676113360325,0.4979757085020243,0.006072874493927126,0.8481781376518218,0.10728744939271255,0.22267206477732793,0.1194331983805668,0.12955465587044535,0.0,1082,51935.6135,60092.8303,10125
8,1085,264,4,3000000,6000000,1500000.0,18760,0.35714285714285715,0.24147121535181237,0.14712153518123666,0.10181236673773987,0.12846481876332622,0.02398720682302772,0.4957356076759062,0.39339019189765456,0.5479744136460555,0.0021321961620469083,0.8560767590618337,0.10501066098081023,0.21162046908315565,0.10341151385927505,0.12953091684434967,0.006396588486140725,1085,57598.078,68896.8666,40392
9,1089,264,28,3000000,42000000,1500000.0,13690,0.38203067932797663,0.26077428780131484,0.14901387874360847,0.08692476260043827,0.10080350620891161,0.020452885317750184,0.5281227173119065,0.3491599707815924,0.5339663988312637,0.0,0.8495252008765523,0.10591672753834916,0.20014609203798392,0.10007304601899196,0.12344777209642074,0.005113221329437546,1089,53711.1214,64225.7433,27894
10,1095,264,6,3000000,9000000,1500000.0,7150,0.2965034965034965,0.16503496503496504,0.13706293706293707,0.1062937062937063,0.21818181818181817,0.07692307692307693,0.43916083916083914,0.4797202797202797,0.6055944055944056,0.0,0.8111888111888111,0.15524475524475526,0.24895104895104894,0.06573426573426573,0.18601398601398603,0.015384615384615385,1095,89486.1818,101877.5633,13572
11,1105,264,2,3000000,3000000,1500000.0,3660,0.7131147540983607,0.22131147540983606,0.040983606557377046,0.01366120218579235,0.01092896174863388,0.0,0.5109289617486339,0.09562841530054644,0.9180327868852459,0.0,0.9289617486338798,0.01912568306010929,0.06830601092896176,0.1366120218579235,0.02459016393442623,0.0,1105,17755.5408,27143.5417,12816
